Client ID,Name,Age,Sex,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Investment Advisor,Fee Structure,Loyalty Classification,Banking Relationship,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting
PKR53604,Kevin Weaver,43,Female,6299,3/31/2019,Frank Brown,American,Staff Accountant I,Daniel Carroll,Low,Jade,Retail,"34,404.16","19,668.40",2,"5,384.70","1,102,836.16","204,450.83","89,694.56","35,877.82","22,452.06","1,115,542.44",3,1
PKR32064,Mary Fox,63,Female,7694,3/9/2009,Adam Hernandez,Australian,Compensation Analyst,Eugene Cunningham,Mid,Jade,Commercial,"129,060.88","17,283.63",1,395.58,"1,000,409.32","966,281.34","472,404.21","396,819.54","37,271.05","1,631,986.90",2,4
PKR72934,Carlos Little,41,Male,38321,4/3/1998,Jonathan Hawkins,American,Geologist I,Carl Anderson,Low,Jade,Retail,"129,981.31","10,242.84",2,"2,383.86","373,846.69","38,406.80","11,024.17","25,028.43","24,422.10","441,603.53",2,1
PKR16101,Roger Boyd,58,Female,12772,12/31/2015,Adam Hernandez,European,Web Designer II,Nicholas Ward,High,Jade,Private Bank,"123,545.42","2,984.52",1,"2,789.44","1,400,623.12","547,459.74","324,420.58","42,985.73","31,481.78","1,255,331.52",3,2
PKR93121,Aaron Marshall,26,Female,28661,1/14/2013,Ernest Rivera,American,Media Manager IV,Peter Castillo,Mid,Jade,Institutional,"308,182.93","64,332.66",1,"4,458.61","649,331.84","103,871.63","77,431.58","133,711.12","12,045.07","176,113.98",0,5
PKR93310,Cheryl Stewart,21,Male,8767,5/23/1992,Victor Martinez,European,Accounting Assistant II,Fred Bryant,High,Gold,Retail,"122,579.41","10,312.54",1,"4,959.36","963,017.56","1,115,098.09","368,467.20","721,419.98","11,782.22","861,771.26",1,2
PKR71301,Anne Nguyen,41,Female,14954,9/19/1997,Joshua Ryan,American,Programmer II,Ryan Taylor,High,Jade,Retail,"30,942.07","4,469.98",1,"3,338.64","276,532.77","132,960.52","108,193.36","22,381.69","23,955.90","622,223.70",0,1
PKR21279,Christopher Evans,36,Female,24058,3/20/2013,Adam Hernandez,European,Administrative Assistant IV,Sean Vasquez,High,Jade,Retail,"50,651.56","8,097.25",3,509.21,"278,071.37","302,540.60","94,771.75","153,748.94","16,732.39","430,027.77",3,1
PKR98618,Maria Clark,34,Male,8623,1/29/2014,Joe Hanson,Asian,Help Desk Operator,Carl Anderson,High,Silver,Commercial,"502,309.08","69,381.00",2,"10,639.31","1,469,913.23","1,724,818.30","507,299.50","1,168,238.27","75,592.25","2,143,826.05",0,4
PKR35589,Jimmy Simpson,52,Female,38270,1/8/2018,George Lewis,European,Geological Engineer,Kevin Kim,High,Jade,Retail,"87,019.73","11,316.50",2,"1,253.68","273,944.56","192,711.78","54,150.42","73,580.86","21,530.91","772,573.60",1,1
PKR40198,Louise Sanders,78,Female,29119,5/24/2005,Shawn Cook,European,Junior Executive,Ryan Taylor,Low,Jade,Retail,"246,615.84","35,332.00",3,"5,835.26","622,181.88","765,153.59","552,072.84","308,192.24","29,778.58","1,078,308.29",0,3
PKR49616,Angela Alvarez,34,Male,31338,8/22/2016,Patrick Graham,Australian,Biostatistician IV,Nicholas Morrison,Low,Jade,Private Bank,"130,023.36","15,464.38",1,219.19,"366,887.14","447,804.62","221,138.08","271,999.84","31,010.83","787,555.56",0,1
PKR55475,Henry Grant,75,Male,21778,4/6/2013,Anthony Simpson,European,Software Test Engineer I,Sean Vasquez,Low,Jade,Institutional,"82,703.81","8,635.67",2,"8,521.80","842,201.38","2,098,819.50","990,288.08","424,345.83","32,253.44","272,858.21",3,4
PKR61272,Larry Foster,47,Female,34773,12/10/1998,Raymond Alexander,European,Internal Auditor,Carl Anderson,High,Gold,Retail,"137,256.09","18,322.92",2,"1,050.56","1,035,297.66","976,553.21","180,073.64","471,515.90","34,284.83","469,532.28",0,1
PKR33884,Carol GoPKRalez,34,Male,29287,5/29/1997,Carl Nguyen,European,Chemical Engineer,Fred Bryant,High,Platinum,Institutional,"224,640.75","57,090.72",3,"3,550.74","1,091,959.45","828,226.52","532,945.76","127,330.83","61,733.24","454,281.87",1,3
PKR53121,Timothy Stanley,79,Female,29278,2/15/1997,Joshua Little,American,Accountant III,Lawrence Sanchez,High,Jade,Retail,"147,292.91","24,297.42",1,"4,097.62","105,266.65","187,826.40","35,438.94","70,287.24","7,805.91","1,112,746.46",3,1
PKR25680,Billy Wilson,73,Female,99,9/25/2017,Dennis Morris,European,Registered Nurse,Peter Castillo,High,Platinum,Retail,"263,248.97","47,651.76",2,"7,069.16","693,956.23","1,420,246.29","554,930.67","235,234.17","1,624.19","2,518,271.85",3,3
PKR55454,Kathleen Riley,80,Male,20746,11/28/2017,Benjamin Kim,European,Cost Accountant,Sean Vasquez,Low,Jade,Institutional,"193,690.93","11,655.54",2,"3,610.42","50,809.39","342,138.31","255,463.27","174,627.40","4,469.13","626,121.90",2,2
PKR96454,Bobby Jenkins,73,Female,15809,3/5/2014,Nicholas Cunningham,European,Developer IV,Nicholas Ward,Low,Gold,Institutional,"91,243.05","37,750.72",3,"6,660.85","122,158.61","2,137,439.34","639,548.78","1,273,038.67","12,504.17","411,062.27",2,3
PKR14292,Arthur Burns,51,Male,30376,12/13/2005,Shawn Long,Asian,Accounting Assistant II,Lawrence Sanchez,Low,Platinum,Institutional,"162,807.39","70,394.40",1,811.96,"709,300.71","1,667,444.17","517,118.76","274,495.08","2,337.77","270,162.94",2,4
PKR67206,Lawrence Richardson,49,Female,38915,1/13/2012,Anthony Simpson,European,Junior Executive,Carl Anderson,Mid,Gold,Institutional,"193,729.94","44,815.46",2,"2,062.15","66,053.91","684,295.05","337,704.05","534,461.09","47,911.89","992,911.86",2,3
PKR90177,Julia Roberts,81,Female,5659,11/8/2006,Victor Martinez,European,Software Engineer I,Fred Bryant,Mid,Platinum,Retail,"131,497.09","15,962.66",1,"3,127.86","57,219.90","725,666.60","233,012.21","506,302.25","21,798.32","498,564.84",0,1
PKR60970,Philip Fisher,27,Male,28045,12/23/2001,Carl Nguyen,Asian,Accountant I,Nicholas Ward,High,Gold,Retail,"319,205.91","49,416.00",1,9.55,0.00,"309,361.94","360,077.01","135,307.81","17,710.52","945,483.98",3,4
PKR24003,Jeffrey Taylor,56,Female,16845,2/28/1994,Anthony Simpson,European,Automation Specialist IV,Fred Bryant,Mid,Silver,Commercial,"44,088.51","32,418.88",2,"2,795.52","1,485,747.33","396,706.92","153,723.93","55,588.56","40,504.26","717,420.29",1,2
PKR87800,Mark Mccoy,33,Male,20816,1/24/2008,Patrick Graham,European,Biostatistician I,Jeremy Porter,High,Silver,Commercial,"420,683.66","24,472.55",1,"1,011.56","820,479.90","1,818,216.16","683,649.27","886,562.20","14,157.72","1,549,847.59",1,3
PKR75987,Timothy Cook,79,Female,30025,12/11/2006,Chris Armstrong,European,Nurse,Daniel Carroll,Low,Jade,Private Bank,"32,062.52","19,653.48",1,"1,612.82","231,528.63","140,280.05","170,536.53","109,748.51","5,492.47","352,732.73",0,1
PKR70083,Larry Green,56,Male,12219,8/28/2016,Benjamin Kim,European,Human Resources Manager,Jeremy Porter,Mid,Jade,Private Bank,"92,487.65","23,690.51",1,"2,199.18","560,657.25","208,470.98","49,811.65","134,675.95","5,026.45","407,139.68",2,1
PKR31444,Edward Gordon,55,Male,33457,1/31/1994,Victor Martinez,European,Analyst Programmer,Ryan Taylor,Mid,Gold,Private Bank,"130,572.51","49,441.92",1,"3,225.23","120,782.42","370,436.77","206,472.95","264,528.29","17,000.19","854,418.25",0,2
PKR70450,Edward Evans,77,Female,31049,7/21/1992,Gregory Simmons,Australian,Database Administrator III,Kevin Kim,High,Gold,Institutional,"54,753.75","5,311.00",1,"1,408.34","80,386.11","11,363.75","14,158.11","4,470.98","8,745.72","390,608.62",1,1
PKR47520,Joseph Morrison,49,Female,3444,3/16/1998,George Lewis,Australian,Web Designer III,Jeremy Porter,Mid,Silver,Retail,"180,214.79","9,226.35",2,587.71,"791,256.59","1,988,033.00","460,993.16","783,688.37","36,763.45","1,991,318.10",2,2
PKR69076,Kathy Wheeler,67,Female,3711,11/12/1996,Anthony Torres,European,Senior Editor,Victor Dean,High,Jade,Private Bank,"52,826.78","26,160.46",2,"2,617.61","385,480.43","295,345.61","277,114.40","86,634.71","20,544.70","71,268.33",2,1
PKR53190,Amy Sims,66,Male,30998,1/2/2007,Joshua Bennett,European,Health Coach III,Jack Phillips,Low,Gold,Institutional,"43,622.88","19,416.40",1,229.90,"39,047.14","192,729.77","87,604.44","223,391.32","16,286.60","237,137.34",0,1
PKR58356,Sharon Warren,64,Male,3113,1/9/2018,Phillip Peters,African,Web Developer I,Ernest Knight,Mid,Silver,Retail,"142,841.26","5,405.00",1,"3,431.39","508,939.36","527,832.84","450,589.01","171,867.52","12,316.33","542,464.52",0,2
PKR33691,Nicholas Gilbert,49,Male,30551,4/7/2009,Douglas Tucker,African,Systems Administrator III,Steve Sanchez,High,Silver,Private Bank,"90,437.66","12,737.40",3,"2,830.36","573,366.17","202,406.32","101,203.16","80,786.52","9,723.87","704,110.00",2,2
PKR20398,Melissa Miller,65,Male,16593,9/29/2008,Jason Duncan,Australian,Biostatistician III,Eugene Cunningham,High,Jade,Retail,"32,301.47","5,597.40",1,"1,751.42","310,657.96","74,293.47","64,447.35","14,035.20","13,795.28","579,453.83",1,1
PKR54314,Kevin Gomez,32,Female,24168,1/1/2007,Jerry Green,European,Project Manager,Ernest Knight,Mid,Jade,Retail,"293,419.07","16,443.25",1,"4,496.63","2,183,384.72","1,490,773.71","634,781.07","281,227.25",399.20,"1,633,759.29",2,4
PKR74305,Ronald Larson,29,Male,25730,12/11/1999,Bobby Burton,Australian,Software Engineer III,Eugene Cunningham,High,Gold,Retail,"55,011.84","14,206.20",1,"3,955.06","479,936.38","1,209,655.58","474,674.98","299,657.72","43,547.80","698,612.48",3,1
PKR37195,Christine Williams,31,Female,10528,4/16/2015,Joshua Bennett,European,Engineer III,Joe Carroll,High,Jade,Private Bank,"77,971.46","7,820.40",1,856.21,"478,157.92","61,042.62","29,222.53","25,358.66","24,984.35","487,689.45",0,1
PKR52609,Angela Roberts,22,Male,30762,7/9/2005,Nicholas Cunningham,European,Health Coach I,Daniel Carroll,High,Jade,Retail,"84,111.51","18,940.38",1,156.67,"304,608.18","130,415.95","61,947.58","84,900.78","3,455.22","356,683.94",3,1
PKR26283,Joshua Hughes,58,Female,95,4/21/2006,Shawn Cook,European,Human Resources Assistant I,Juan Ramirez,High,Jade,Retail,"98,369.29","3,050.25",1,"1,441.89","213,195.07","376,150.25","235,795.68","198,629.79","23,821.78","312,562.61",3,2
PKR61913,Joshua Stephens,75,Male,10119,8/30/2012,Samuel Fowler,American,Software Test Engineer II,Daniel Carroll,High,Silver,Institutional,"243,490.73","63,872.76",1,"5,578.34","1,045,569.03","428,657.45","214,328.73","382,765.89","32,217.39","1,105,110.35",1,3
PKR35876,Evelyn Ramirez,18,Male,28105,9/27/2006,Frank Brown,American,Web Designer II,Eugene Cunningham,Mid,Jade,Commercial,"72,431.34","34,975.16",1,"5,303.50","1,210,753.08","205,810.18","127,568.29","29,765.93","25,402.35","1,532,523.47",0,2
PKR19011,Lillian Burns,47,Female,33271,11/7/2003,Paul Larson,European,Sales Associate,Eugene Cunningham,Mid,Silver,Retail,"456,003.99","25,171.20",2,"7,969.45","1,248,952.37","1,050,537.35","674,555.56","237,200.27","71,113.77","1,347,657.84",2,4
PKR86703,Lillian Bell,41,Female,11172,2/16/2018,Stephen Payne,European,Biostatistician I,Daniel Carroll,High,Platinum,Retail,"71,422.04","32,993.52",1,"4,253.34","315,175.42","38,234.02","33,404.46","7,799.74","38,428.49","813,247.12",2,2
PKR23640,Phillip Perez,36,Female,18659,4/2/2018,Benjamin Kim,European,Accounting Assistant III,Victor Gutierrez,Low,Jade,Retail,"39,077.38","14,707.68",2,"1,305.38","1,187,138.91","717,787.70","144,670.39","242,934.97","11,997.93","1,231,614.29",0,2
PKR93407,Karen Morrison,84,Female,18123,4/16/2010,Carl Nguyen,European,Dental Hygienist,Jack Phillips,High,Jade,Institutional,"274,099.12","26,051.76",2,"2,461.94","563,101.95",0.00,0.00,0.00,"4,870.24","520,918.49",3,2
PKR40136,John Cruz,26,Male,27140,9/25/1993,Victor Martinez,European,Developer IV,Victor Dean,Mid,Silver,Commercial,"260,826.75","53,468.10",3,270.60,"804,359.98","529,324.30","295,539.40","106,261.85","46,060.06","296,849.18",0,3
PKR76215,Joseph Thomas,74,Female,18521,1/7/1999,Jeremy Vasquez,American,Engineer IV,Sean Vasquez,Low,Platinum,Retail,"334,331.81","18,591.75",2,"1,029.30","164,253.29","641,260.15","500,709.98","396,615.01","46,006.43","1,094,810.02",1,3
PKR93216,Anthony Green,47,Male,40585,2/11/2012,Dennis Ruiz,Asian,Software Consultant,Eric Shaw,High,Jade,Retail,"61,398.26","20,668.94",1,550.75,"360,003.87","277,273.40","305,000.74","109,324.94","2,850.73","118,884.97",2,1
PKR54572,Terry Hanson,82,Female,4749,4/11/2007,Phillip Peters,European,Software Test Engineer II,Daniel Carroll,High,Gold,Commercial,"63,246.30","18,575.70",1,"2,914.18","448,652.70","537,205.52","362,849.34","93,209.87","17,124.28","237,993.70",0,1
PKR18649,Norma Perez,25,Male,7639,3/24/2019,George Lewis,European,Accountant II,Juan Ramirez,Mid,Platinum,Retail,"158,091.86","33,824.44",3,"1,080.03","207,662.76","177,146.44","177,146.44","70,553.15","17,133.59","235,133.69",0,2
PKR51790,Ann Bradley,44,Male,6517,9/10/2016,Dennis Morris,European,Software Engineer II,Victor Gutierrez,Mid,Jade,Retail,"131,729.85","6,664.06",2,"6,215.34","863,722.10","359,436.79","161,746.56","166,059.80","41,209.82","506,592.10",2,2
PKR17740,Daniel Morrison,38,Female,38743,6/18/2011,Frank Brown,Asian,Health Coach IV,Lawrence Sanchez,High,Gold,Commercial,"116,926.94","18,431.28",2,"3,828.20","1,049,088.92","463,600.46","200,893.53","58,413.66","7,382.34","1,299,697.25",1,2
PKR49489,Keith Weaver,74,Male,4567,8/9/1995,Nicholas Cunningham,American,Associate Professor,Eric Shaw,High,Gold,Institutional,"148,224.72","27,518.00",2,27.81,"302,048.92","73,076.62","28,675.63","52,337.66","17,272.56","456,098.92",3,1
PKR50658,Patrick Richardson,35,Female,36151,8/24/1992,Roger Alexander,Asian,Computer Systems Analyst I,Carl Anderson,Mid,Jade,Retail,"348,248.56","65,026.00",1,"3,435.36","1,369,215.65","450,525.37","124,963.24","169,226.54","6,690.97","2,698,297.83",0,3
PKR14798,Beverly Griffin,74,Male,21413,9/24/2014,Shawn Wallace,American,Health Coach I,Joe Carroll,High,Silver,Commercial,"19,637.78","9,527.23",2,78.14,"24,331.27","150,917.77","83,660.94","40,993.86","17,286.26","100,054.72",0,1
PKR60926,Virginia Greene,62,Male,7197,12/13/1995,Phillip Peters,American,Electrical Engineer,Eugene Cunningham,Mid,Jade,Institutional,"150,304.49","7,326.44",1,767.06,"523,866.09","363,305.25","199,374.83","224,185.92","33,854.22","607,800.07",1,2
PKR57710,Antonio Ruiz,23,Male,27256,11/5/2003,Ernest Rivera,European,Statistician I,Gregory Boyd,Low,Jade,Retail,"52,109.13","14,277.05",1,209.68,"205,552.05","329,191.59","116,949.64","88,665.16","6,681.62","1,148,304.50",1,1
PKR71795,John Chapman,68,Male,21290,8/23/2007,Keith Griffin,European,Programmer Analyst III,Eugene Cunningham,Mid,Platinum,Retail,"156,091.75","20,609.04",3,382.87,"707,577.90","435,466.02","112,495.39","252,896.89","35,301.62","837,133.63",2,1
PKR98220,Ruth Bishop,79,Male,3957,1/24/1994,Joe Price,American,Human Resources Assistant II,Juan Ramirez,High,Jade,Institutional,"338,383.13","57,267.05",1,"3,505.86","1,565,513.72","730,384.02","497,152.15","144,603.76","74,778.17","884,890.54",1,4
PKR91662,Alice Chavez,29,Female,39668,2/21/2019,Jerry Green,European,Assistant Professor,Sean Vasquez,High,Silver,Retail,"198,553.59","20,851.74",1,"5,581.31","414,518.57","1,144,704.01","696,263.26","570,935.88","40,208.75","1,522,411.23",3,4
PKR18901,Heather Palmer,52,Male,374,11/5/2002,Stephen Payne,European,Accounting Assistant III,Jeremy Porter,Mid,Silver,Commercial,"190,119.93","47,110.05",1,"3,525.21","527,884.11","99,616.37","122,860.19","23,741.90","6,920.94","136,723.47",1,2
PKR49888,Louis Banks,68,Female,31302,1/26/2003,Paul Larson,American,Administrative Assistant I,Daniel Carroll,Mid,Jade,Retail,"147,956.79","52,216.52",1,"2,977.86","701,005.58","720,211.85","302,231.76","279,467.92","23,058.96","1,504,310.04",3,2
PKR76081,Bobby Gordon,41,Male,23190,1/2/2010,Nicholas Cunningham,Australian,Geologist IV,Gregory Boyd,Mid,Gold,Institutional,"91,071.75","33,111.54",1,"8,062.65","677,123.94","558,283.30","298,923.34","147,703.30","7,880.76","1,554,534.94",0,2
PKR93705,Randy Gardner,70,Male,18488,10/28/1998,Paul Holmes,American,Help Desk Operator,Eugene Cunningham,Mid,Gold,Retail,"96,545.37","23,191.74",1,"3,386.45","1,104,753.03","1,268,890.97","630,243.86","252,097.54","39,556.05","1,941,061.87",3,2
PKR52847,Eric Burke,32,Female,8566,6/19/2015,Samuel Fowler,Asian,Assistant Media Planner,Juan Ramirez,High,Jade,Institutional,"63,765.00","11,354.00",1,"2,644.75","1,012,372.67","1,568,405.32","541,210.29","478,805.43","62,053.29","1,665,045.85",3,2
PKR24592,Martin Shaw,47,Male,10123,9/18/2007,Carl Nguyen,American,Technical Writer,Joe Carroll,Mid,Jade,Institutional,"191,715.40","31,923.72",1,"1,296.45","402,401.84","269,460.70","316,098.13","121,257.32","19,337.29","673,780.44",0,2
PKR31656,Phillip Hansen,83,Male,633,1/28/2012,Dennis Ruiz,Asian,Human Resources Assistant I,Ernest Knight,Mid,Silver,Private Bank,"218,312.27","21,480.88",2,"5,886.56","1,757,312.99","1,099,352.83","389,770.55","402,363.14","30,773.91","735,797.50",1,5
PKR85060,Randy Wheeler,24,Male,8325,2/15/2006,Roger Alexander,European,Software Consultant,Lawrence Sanchez,High,Platinum,Commercial,"157,167.47","31,498.25",1,"1,909.30","597,244.53","262,988.54","128,881.80","51,169.56","42,714.80","836,453.63",3,1
PKR89139,Matthew Brown,84,Female,23184,7/9/2014,Joshua Ryan,European,Administrative Assistant IV,Eric Shaw,Low,Gold,Institutional,"101,929.59","13,019.30",1,"1,163.81","614,181.30","445,914.24","137,911.62","373,280.79","12,590.02","516,128.95",3,1
PKR81423,Dennis Hanson,29,Male,24727,3/1/2009,Benjamin Kim,American,Recruiter,Eric Shaw,High,Jade,Institutional,"40,985.49","19,729.50",3,646.13,"358,194.38","186,144.38","114,664.94","37,333.12","13,412.63","222,160.88",1,1
PKR85541,Alan Bennett,85,Male,9136,9/12/2018,Dennis Morris,African,Staff Scientist,Kevin Kim,High,Jade,Retail,"109,218.70","6,820.80",1,"2,767.30","587,928.77","198,995.43","128,873.23","68,530.24","13,413.79","566,786.30",2,1
PKR59219,Helen Jenkins,51,Male,10186,10/30/2014,Stephen Payne,European,Web Developer III,Jeremy Porter,High,Jade,Retail,"174,258.52","34,182.52",1,"5,185.78","648,432.67","1,125,389.67","830,895.18","198,783.78","36,318.33","452,950.77",3,3
PKR43444,Katherine Myers,59,Female,33070,11/14/2018,Shawn Cook,European,Senior Developer,Victor Gutierrez,High,Jade,Institutional,"74,059.23","14,702.60",2,"1,361.56","374,815.99","384,271.05","216,865.84","124,336.41","8,446.40","962,931.99",2,1
PKR85299,Scott Hughes,84,Male,2874,7/22/1993,Shawn Cook,American,Health Coach IV,Daniel Carroll,High,Silver,Private Bank,"158,874.14","38,794.28",1,"2,366.28","261,364.76","127,418.48","101,648.45","46,915.77","40,839.46","334,072.22",0,2
PKR58136,Barbara Larson,69,Female,18759,1/10/1998,Nicholas Simmons,American,Office Assistant II,Peter Castillo,Mid,Jade,Retail,"71,958.90","13,998.90",1,"2,756.83","124,510.61","199,185.62","120,782.77","81,093.97","15,957.53","639,874.92",1,1
PKR35725,Tammy Willis,17,Female,29867,11/2/2012,Jerry Green,European,Operator,Victor Rogers,High,Jade,Commercial,"189,074.19","13,258.42",1,"4,138.78","291,504.55","247,346.43","81,405.16","162,184.12","11,482.62","358,381.36",3,3
PKR15648,Aaron Williams,78,Female,12708,1/6/2005,Chris Armstrong,Australian,Software Engineer III,Nicholas Morrison,High,Platinum,Retail,"74,408.69","28,689.62",2,494.76,"24,949.10","188,138.63","218,375.19","61,145.05","12,141.52","326,434.35",2,1
PKR48116,Lawrence Gibson,25,Female,2134,6/6/2019,Jonathan Hawkins,African,Dental Hygienist,Juan Ramirez,High,Jade,Retail,"447,928.06","42,888.81",1,"3,074.93","841,124.62","611,852.17","222,491.70","457,697.21","33,497.73","347,546.25",3,5
PKR28531,Ronald Burns,61,Female,449,8/20/2001,Joshua Little,Australian,Web Designer I,Eric Shaw,Mid,Gold,Retail,"309,939.21","51,303.60",2,"10,999.17","1,198,037.84","1,457,194.61","691,706.30","145,258.32","44,952.26","3,619,311.37",3,4
PKR45135,Benjamin Boyd,61,Male,27123,2/22/2011,Shawn Cook,American,Editor,Sean Vasquez,Low,Silver,Retail,"151,227.36","25,749.75",1,397.40,"455,965.07","212,193.82","276,609.80","79,800.03","13,699.11","796,820.24",2,2
PKR72586,Craig Wagner,48,Male,31328,11/8/2016,Raymond Alexander,Asian,Analog Circuit Design manager,Joe Carroll,High,Jade,Commercial,"401,412.67","48,428.15",2,"3,172.65","1,511,484.73","827,446.85","498,247.56","399,309.83","51,370.22","155,806.11",3,5
PKR80929,Mary Austin,35,Male,12694,10/20/1997,Joshua Ryan,European,VP Marketing,Nicholas Ward,High,Silver,Institutional,"263,452.26","17,416.80",1,"3,107.16",0.00,"687,595.13","297,957.89","507,980.00","16,429.39","980,875.66",2,2
PKR40714,Steven Wilson,21,Male,40567,5/10/2004,James Castillo,European,Senior Editor,Sean Vasquez,Low,Silver,Retail,"404,760.25","41,342.34",2,"4,733.35","1,022,752.85","425,498.09","212,749.04","145,323.96","64,179.71","477,400.93",0,3
PKR48405,Joe Lawrence,23,Female,5800,12/19/2004,Dennis Morris,European,Civil Engineer,Kevin Kim,High,Gold,Retail,"122,608.89","31,945.22",1,226.91,"248,995.76","167,320.36","182,304.28","54,616.36","24,666.31","166,961.63",2,2
